id,puerto,territorio_historico,t,c,a,ultima_actualizacion,red,carretera,situacion,fuente
3249,HERRERA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
3250,HERRERAKO MENDATEA/PUERTO DE HERRERA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
3251,ILSOGANA (LAS MUÑECAS),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3601,,Dpto.Seguridad
3252,IRUZUBIETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
3253,ITURBURU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
3254,ITZIAR,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
3255,IZASKUN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3421,,Dpto.Seguridad
3256,JAIZKIBEL,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3440,,Dpto.Seguridad
3257,KANPANZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-636,,Dpto.Seguridad
3258,KARABIETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2639,,Dpto.Seguridad
3259,KASTREXANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
3260,KURTZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2620,,Diputaciones
3261,LARREINETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3755,,Dpto.Seguridad
3262,LEKOIZGANA (SANTA EUFEMIA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3448,,Dpto.Seguridad
3263,LIZARRAGA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-120,,Gobierno de Navarra
3264,LIZARRUSTI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2120,,Dpto.Seguridad
3265,MANDUBIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2635,,Dpto.Seguridad
3266,MEAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2633,,Dpto.Seguridad
3267,MERELLUDI (MILLOI),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2405,,Dpto.Seguridad
3268,MEZKIRITZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-135,,Gobierno de Navarra
3269,MIOTA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3321,,Dpto.Seguridad
3270,MORGA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3148,,Dpto.Seguridad
3271,MUNIKETA (MONTECALVO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3332,,Dpto.Seguridad
3272,OLLOKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3720,,Dpto.Seguridad
3273,OPAKUA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2128,,Diputaciones
3274,OTSAURTE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2637,,Dpto.Seguridad
3275,PAGATZA (ELGETA),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
3276,PAGATZA (ELGETA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2632,,Dpto.Seguridad
3277,SAN PELAIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3101,,Dpto.Seguridad
3278,SARASOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3524,,Dpto.Seguridad
3279,SOLLUBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
3280,UBAL,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3622,,Dpto.Seguridad
3281,UDANA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2630,,Dpto.Seguridad
3282,UMARAN,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3631,,Dpto.Seguridad
3283,UNBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2704,,Dpto.Seguridad
3284,URDUÑAKO MENDATEA/PUERTO DE ORDUÑA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2625,,Diputaciones
3285,URKAREGI (SAN MIGEL),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2636,,Dpto.Seguridad
3286,URKIOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-623,,Dpto.Seguridad
3287,URRAKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3740,,Dpto.Seguridad
3288,URTO,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2130,,Dpto.Seguridad
3289,ZALDIARAN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3102,,Diputaciones
3290,ZUDUGARAIGAIN (ALTO DE ORIO),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
3291,AGIÑA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-4000,,Gobierno de Navarra
3292,AIURDIN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3600,,Diputaciones
3293,ALMANDOZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121,,Gobierno de Navarra
3294,ALTUBE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-624,,Diputaciones
3295,ALTUBE AP-68 (BILBAO),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
3296,ALTUBE AP-68 (ZARAGOZA),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
3297,ANDATZARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2631,,Dpto.Seguridad
3298,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
3299,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
