id,puerto,territorio_historico,t,c,a,ultima_actualizacion,red,carretera,situacion,fuente
666,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
667,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
668,AREITIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
669,ARITXULEGI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3420,,Dpto.Seguridad
670,ARLABAN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-627,,Dpto.Seguridad
671,ARRANGIZGANA (TRABAKUA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
672,ARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3301,,Dpto.Seguridad
673,ARTEBAKARRA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
674,ARTIKUTZA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3631,,Dpto.Seguridad
675,ARTXANDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3741,,Dpto.Seguridad
676,ASTORKIGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
677,AUTZAGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3325,,Dpto.Seguridad
678,AVELLANEDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2701,,Dpto.Seguridad
679,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
680,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
681,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
682,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
683,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
684,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
685,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
686,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
687,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
688,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
689,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
690,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
691,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
692,BIKOSGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3513,,Dpto.Seguridad
693,BIZKAIKO BEHATOKIA/BALCÓN DE BIZKAIA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3231,,Dpto.Seguridad
694,DESKARGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-636,,Dpto.Seguridad
695,DIMA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2543,,Dpto.Seguridad
696,EITZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
697,EL PERDÓN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-111,,Gobierno de Navarra
698,ELOSUA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3750,,Dpto.Seguridad
699,ENEKURI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-604,,Dpto.Seguridad
700,ERLAITZ,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3454,,Dpto.Seguridad
701,ESCRITA/LA ESCRITA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-630,,Dpto.Seguridad
702,ETZEGARATE (IRUN),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
703,ETZEGARATE (MADRID),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
704,GAINTXURIZKETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,GI-636,,Dpto.Seguridad
705,GANGUREN (EL VIVERO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3732,,Dpto.Seguridad
706,GARATE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3632,,Diputaciones
707,GASTEIZKO MENDATEA/PUERTO DE VITORIA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
708,GATZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3310,,Dpto.Seguridad
709,GATZAGAKO MENDATEA (PUERTO DE SALINAS),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2622,,Diputaciones
710,GORONTZUGARAI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
711,HERRERA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
712,HERRERAKO MENDATEA/PUERTO DE HERRERA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
713,ILSOGANA (LAS MUÑECAS),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3601,,Dpto.Seguridad
714,IRUZUBIETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
715,ITURBURU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
716,ITZIAR,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
717,IZASKUN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3421,,Dpto.Seguridad
718,JAIZKIBEL,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3440,,Dpto.Seguridad
719,KANPANZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-636,,Dpto.Seguridad
720,KARABIETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2639,,Dpto.Seguridad
721,KASTREXANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
722,KURTZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2620,,Diputaciones
723,LARREINETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3755,,Dpto.Seguridad
724,LEKOIZGANA (SANTA EUFEMIA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3448,,Dpto.Seguridad
725,LIZARRAGA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-120,,Gobierno de Navarra
726,LIZARRUSTI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2120,,Dpto.Seguridad
727,MANDUBIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2635,,Dpto.Seguridad
728,MEAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2633,,Dpto.Seguridad
729,MERELLUDI (MILLOI),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2405,,Dpto.Seguridad
730,MEZKIRITZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-135,,Gobierno de Navarra
731,MIOTA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3321,,Dpto.Seguridad
732,MORGA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3148,,Dpto.Seguridad
733,MUNIKETA (MONTECALVO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3332,,Dpto.Seguridad
734,OLLOKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3720,,Dpto.Seguridad
735,OPAKUA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2128,,Diputaciones
736,OTSAURTE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2637,,Dpto.Seguridad
737,PAGATZA (ELGETA),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
738,PAGATZA (ELGETA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2632,,Dpto.Seguridad
739,SAN PELAIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3101,,Dpto.Seguridad
740,SARASOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3524,,Dpto.Seguridad
741,SOLLUBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
742,UBAL,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3622,,Dpto.Seguridad
743,UDANA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2630,,Dpto.Seguridad
744,UMARAN,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3631,,Dpto.Seguridad
745,UNBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2704,,Dpto.Seguridad
746,URDUÑAKO MENDATEA/PUERTO DE ORDUÑA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2625,,Diputaciones
747,URKAREGI (SAN MIGEL),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2636,,Dpto.Seguridad
748,URKIOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-623,,Dpto.Seguridad
749,URRAKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3740,,Dpto.Seguridad
750,URTO,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2130,,Dpto.Seguridad
751,ZALDIARAN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3102,,Diputaciones
752,ZUDUGARAIGAIN (ALTO DE ORIO),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
753,AGIÑA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-4000,,Gobierno de Navarra
754,AIURDIN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3600,,Diputaciones
755,ALMANDOZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121,,Gobierno de Navarra
756,ALTUBE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-624,,Diputaciones
757,ALTUBE AP-68 (BILBAO),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
758,ALTUBE AP-68 (ZARAGOZA),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
759,ANDATZARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2631,,Dpto.Seguridad
760,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
761,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
762,AREITIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
763,ARITXULEGI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3420,,Dpto.Seguridad
764,ARLABAN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-627,,Dpto.Seguridad
765,ARRANGIZGANA (TRABAKUA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
766,ARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3301,,Dpto.Seguridad
767,ARTEBAKARRA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
768,ARTIKUTZA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3631,,Dpto.Seguridad
769,ARTXANDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3741,,Dpto.Seguridad
770,ASTORKIGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
771,AUTZAGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3325,,Dpto.Seguridad
772,AVELLANEDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2701,,Dpto.Seguridad
773,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
774,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
775,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
776,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
777,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
778,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
779,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
780,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
781,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
782,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
783,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
784,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
785,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
786,BIKOSGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3513,,Dpto.Seguridad
787,BIZKAIKO BEHATOKIA/BALCÓN DE BIZKAIA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3231,,Dpto.Seguridad
788,DESKARGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-636,,Dpto.Seguridad
789,DIMA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2543,,Dpto.Seguridad
790,EITZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
791,EL PERDÓN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-111,,Gobierno de Navarra
792,ELOSUA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3750,,Dpto.Seguridad
793,ENEKURI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-604,,Dpto.Seguridad
794,ERLAITZ,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3454,,Dpto.Seguridad
795,ESCRITA/LA ESCRITA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-630,,Dpto.Seguridad
796,ETZEGARATE (IRUN),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
797,ETZEGARATE (MADRID),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
798,GAINTXURIZKETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,GI-636,,Dpto.Seguridad
799,GANGUREN (EL VIVERO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3732,,Dpto.Seguridad
800,GARATE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3632,,Diputaciones
801,GASTEIZKO MENDATEA/PUERTO DE VITORIA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
802,GATZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3310,,Dpto.Seguridad
803,GATZAGAKO MENDATEA (PUERTO DE SALINAS),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2622,,Diputaciones
804,GORONTZUGARAI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
805,HERRERA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
806,HERRERAKO MENDATEA/PUERTO DE HERRERA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
807,ILSOGANA (LAS MUÑECAS),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3601,,Dpto.Seguridad
808,IRUZUBIETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
809,ITURBURU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
810,ITZIAR,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
811,IZASKUN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3421,,Dpto.Seguridad
812,JAIZKIBEL,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3440,,Dpto.Seguridad
813,KANPANZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-636,,Dpto.Seguridad
814,KARABIETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2639,,Dpto.Seguridad
815,KASTREXANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
816,KURTZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2620,,Diputaciones
817,LARREINETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3755,,Dpto.Seguridad
818,LEKOIZGANA (SANTA EUFEMIA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3448,,Dpto.Seguridad
819,LIZARRAGA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-120,,Gobierno de Navarra
820,LIZARRUSTI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2120,,Dpto.Seguridad
821,MANDUBIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2635,,Dpto.Seguridad
822,MEAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2633,,Dpto.Seguridad
823,MERELLUDI (MILLOI),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2405,,Dpto.Seguridad
824,MEZKIRITZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-135,,Gobierno de Navarra
825,MIOTA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3321,,Dpto.Seguridad
826,MORGA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3148,,Dpto.Seguridad
827,MUNIKETA (MONTECALVO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3332,,Dpto.Seguridad
828,OLLOKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3720,,Dpto.Seguridad
829,OPAKUA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2128,,Diputaciones
830,OTSAURTE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2637,,Dpto.Seguridad
831,PAGATZA (ELGETA),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
832,PAGATZA (ELGETA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2632,,Dpto.Seguridad
833,SAN PELAIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3101,,Dpto.Seguridad
834,SARASOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3524,,Dpto.Seguridad
835,SOLLUBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
836,UBAL,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3622,,Dpto.Seguridad
837,UDANA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2630,,Dpto.Seguridad
838,UMARAN,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3631,,Dpto.Seguridad
839,UNBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2704,,Dpto.Seguridad
840,URDUÑAKO MENDATEA/PUERTO DE ORDUÑA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2625,,Diputaciones
841,URKAREGI (SAN MIGEL),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2636,,Dpto.Seguridad
842,URKIOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-623,,Dpto.Seguridad
843,URRAKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3740,,Dpto.Seguridad
844,URTO,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2130,,Dpto.Seguridad
845,ZALDIARAN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3102,,Diputaciones
846,ZUDUGARAIGAIN (ALTO DE ORIO),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
847,AGIÑA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-4000,,Gobierno de Navarra
848,AIURDIN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3600,,Diputaciones
849,ALMANDOZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121,,Gobierno de Navarra
850,ALTUBE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-624,,Diputaciones
851,ALTUBE AP-68 (BILBAO),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
852,ALTUBE AP-68 (ZARAGOZA),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
853,ANDATZARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2631,,Dpto.Seguridad
854,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
855,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
856,AREITIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
857,ARITXULEGI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3420,,Dpto.Seguridad
858,ARLABAN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-627,,Dpto.Seguridad
859,ARRANGIZGANA (TRABAKUA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
860,ARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3301,,Dpto.Seguridad
861,ARTEBAKARRA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
862,ARTIKUTZA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3631,,Dpto.Seguridad
863,ARTXANDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3741,,Dpto.Seguridad
864,ASTORKIGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
865,AUTZAGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3325,,Dpto.Seguridad
866,AVELLANEDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2701,,Dpto.Seguridad
867,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
868,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
869,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
870,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
871,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
872,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
873,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
874,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
875,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
876,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
877,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
878,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
879,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
